TEXAS,",",159,"TEXAS,159",,TEXAS,159
Texas,",",159,"Texas,159",,Mexico,64
Texas,",",159,"Texas,159",,United States,59
Texas,",",159,"Texas,159",,Palmerston,31
Texas,",",159,"Texas,159",,Great Britain,26
Texas,",",159,"Texas,159",,France,24
Texas,",",159,"Texas,159",,Santa Anna,23
Texas,",",159,"Texas,159",,Houston,15
Texas,",",159,"Texas,159",,England,14
Texas,",",159,"Texas,159",,Yucatin,14
Texas,",",159,"Texas,159",,Barbachano,11
Texas,",",159,"Texas,159",,Hamilton,11
Texas,",",159,"Texas,159",,Belgium,9
Texas,",",159,"Texas,159",,Daingerfield,8
Texas,",",159,"Texas,159",,Little Penn,8
Texas,",",159,"Texas,159",,Netherlands,8
Texas,",",159,"Texas,159",,Spain,8
Texas,",",159,"Texas,159",,Arrangoiz,7
Texas,",",159,"Texas,159",,London,7
Texas,",",159,"Texas,159",,New Orleans,7
Texas,",",159,"Texas,159",,Red River,7
Texas,",",159,"Texas,159",,Santa,7
Texas,",",159,"Texas,159",,Saligny,6
Texas,",",159,"Texas,159",,Filisola,5
Texas,",",159,"Texas,159",,Bremen,4
Texas,",",159,"Texas,159",,Washington,4
Texas,",",159,"Texas,159",,5th Tex,3
Texas,",",159,"Texas,159",,Austin,3
Texas,",",159,"Texas,159",,Europe,3
Texas,",",159,"Texas,159",,Lipscomb,3
Texas,",",159,"Texas,159",,Somervell,3
Texas,",",159,"Texas,159",,Boston,2
Texas,",",159,"Texas,159",,Burnet,2
Texas,",",159,"Texas,159",,Campeche,2
Texas,",",159,"Texas,159",,Cdrdenas,2
Texas,",",159,"Texas,159",,Gulf of Mexico,2
Texas,",",159,"Texas,159",,Liverpool,2
Texas,",",159,"Texas,159",,Pakenham,2
Texas,",",159,"Texas,159",,Paris,2
Texas,",",159,"Texas,159",,Prussia,2
Texas,",",159,"Texas,159",,San Augustine,2
Texas,",",159,"Texas,159",,Smith,2
Texas,",",159,"Texas,159",,Alamo,1
Texas,",",159,"Texas,159",,Arkansas River,1
Texas,",",159,"Texas,159",,Beales,1
Texas,",",159,"Texas,159",,Berlin,1
Texas,",",159,"Texas,159",,Bexar,1
Texas,",",159,"Texas,159",,Bowls,1
Texas,",",159,"Texas,159",,Carmen,1
Texas,",",159,"Texas,159",,Chero,1
Texas,",",159,"Texas,159",,Creek,1
Texas,",",159,"Texas,159",,Greenville,1
Texas,",",159,"Texas,159",,Grentleman,1
Texas,",",159,"Texas,159",,Guadalupe Victoria,1
Texas,",",159,"Texas,159",,Guizot,1
Texas,",",159,"Texas,159",,Hamburg,1
Texas,",",159,"Texas,159",,Henderson,1
Texas,",",159,"Texas,159",,Holland,1
Texas,",",159,"Texas,159",,Hughes,1
Texas,",",159,"Texas,159",,Irioja,1
Texas,",",159,"Texas,159",,Laguna,1
Texas,",",159,"Texas,159",,Lemue,1
Texas,",",159,"Texas,159",,Lord Aberdeen,1
Texas,",",159,"Texas,159",,Madrid,1
Texas,",",159,"Texas,159",,Matagorda,1
