Source,Target,generated
Sam Houston,J. Pinckney Henderson,0
James Webb,A. La Branche,1
David G. Burnet,Richard G. Dunlap,2
Nathaniel Amory,Richard G. Dunlap,3
David G. Burnet,Richard G. Dunlap,4
T. Dunlap,Richard G. Dunlap,5
Nathaniel Amory,Richard G. Dunlap,6
John Emberson,Albert Sidney Johnston,7
David G. Burnet,A. La Branche,8
David G. Burnet,A. La Branche,9
David G. Burnet,A. La Branche,10
William Scurlock,David G. Burnet,11
William M. Williams,David G. Burnet,12
D. Rowlett,David G. Burnet,13
David G. Burnet,A. La Branche,14
David G. Burnet,A. La Branche,15
David G. Burnet,A. La Branche,16
D. Rowlett,David G. Burnet,17
David G. Burnet,Richard G. Dunlap,18
Abner S. Lipscomb,A. La Branche,19
Abner S. Lipscomb,Hamilton and Burnley,20
Joseph Waples,Barnard E. Bee,21
Abner S. Lipscomb,Geo. H. Flood,22
Joseph Waples,Nathaniel Amory,23
Joseph Waples,Geo. H. Flood,24
Joseph Waples,Geo. H. Flood,25
Joseph Waples,Geo. H. Flood,26
James S. Mayfield,Geo. H. Flood,27
James S. Mayfield,Barnard E. Bee,28
James S. Mayfield,Barnard E. Bee,29
Geo. H. Flood,James S. Mayfield,30
James S. Mayfield,Geo. H. Flood,31
Geo. H. Flood,James S. Mayfield,32
James S. Mayfield,Barnard E. Bee,33
,,34
,,35
,,36
,,37
,,38
,,39
James S. Mayfield,Nathaniel Amory,40
Samuel A. Roberts,Barnard E. Bee,41
Samuel A. Roberts,Barnard E. Bee,42
Samuel A. Roberts,Joseph Eve,43
Samuel A. Roberts,Joseph Eve,44
Samuel A. Roberts,Barnard E. Bee,45
Sam Houston,Joseph Eve,46
Sam Houston,A. B. Roman,47
Sam Houston,A. B. Roman,48
Isaac Van Zandt,Anson Jones,49
Joseph Eve,Anson Jones,50
Isaac Van Zandt,Anson Jones,51
J. C. Spencer,Isaac Van Zandt,52
T. Hartley Crawford,Wm. Armstrong,53
R. Jones,W. Davenport and G. Loomis,54
Isaac Van Zandt,Anson Jones,55
Joseph Eve,Anson Jones,56
M. E. Hale,Joseph Eve,57
Anson Jones,Isaac Van Zandt,58
Anson Jones,Joseph Eve,59
Anson Jones,Isaac Van Zandt,60
Wm. Henry Daingerfield,Anson Jones,61
Anson Jones,Isaac Van Zandt,62
Sam Houston,Joseph Eve,63
Joseph Eve,Joseph Waples,64
Copy and sunmiary of instructions United States Department of State,,65
Joseph Eve,Texaa,66
Wm. Henry Daingerfield,Anson Jones,67
Joseph Eve,Anson Jones,68
Isaac Van Zandt,Anson Jones,69
' Daniel Webster,Isaac Van Zandt,70
Isaac Van Zandt,William S. Archer,71
Isaac Van Zandt,Anson Jones,72
Isaac Van Zandt,Daniel Webster,73
Joseph Eve,Anson Jones,74
Isaac Van Zandt,Anson Jones,75
Isaac Van Zandt,Anson Jones,76
Anson Jones,Joseph Eve,77
Joseph Eve,Anson Jones,78
Reuben M. Potter,A. M. Green,79
A. M. Green,Joseph Eve,80
Isaac Van Zandt,Anson Jones,81
Sam Houston,Joseph Eve,82
Anson Jones,Isaac Van Zandt,83
Anson Jones,Isaac Van Zandt,84
Joseph W. Robertson,Anson Jones,85
Charles H. Raymond,Anson Jones,86
Anson Jones,Joseph Eve,87
Anson Jones,Joseph Eve,88
Anson Jones,Isaac Van Zandt,89
,,90
,,91
,,92
,,93
,,94
Jesse Benton,Anson Jones,95
Isaac Van Zandt,Anson Jones,96
Petition of Joseph Cooper,the Texan minister 187,97
Anson Jones,Isaac Van Zandt,98
,June 10 1843,99
Anson Jones,Isaac Van Zandt,100
Isaac Van Zandt,Anson Jones,101
Anson Jones,Isaac Van Zandt,102
Anson Jones,Isaac Van Zandt,103
Isaac Van Zandt,Anson Jones,104
Isaac Van Zandt,Anson Jones,105
J. M. Porter,H. S. Legar^,106
William Armstrong,T. H. Crawford,107
William Armstrong,T. H. Crawford,108
Charles H. Raymond,Anson Jones,109
Isaac Van Zandt,Anson Jones,110
Isaac Van Zandt,Anson Jones,111
Isaac Van Zandt,Anson Jones,112
Anson Jones,Isaac Van Zandt,113
M. C. Hamilton,Jacob Snively,114
Jacob Snively,Geo. W. HUl,115
Isaac Van Zandt,Anson Jones,116
Isaac Van Zandt,Anson Jones,117
Isaac Van Zandt,Anson Jones,118
W. S. Murphy,Anson Jones,119
Anson Jones,Isaac Van Zandt,120
W. S. Murphy,Anson Jones,121
Isaac Van Zandt,Anson Jones,122
Isaac Van Zandt,Anson Jones,123
A. P. Upshur,Isaac Van Zandt,124
Anson Jones,Isaac Van Zandt,125
Anson Jones,J. Pinckney Henderson,126
Anson Jones,W. S. Murphy,127
Isaac Van Zandt,Anson Jones,128
J. H. Brower,Isaac Van Zandt,129
Isaac Van Zandt,A. P. Upshur,130
Anson Jones,Isaac Van Zandt,131
Anson Jones,Van Zandt and Henderson,132
